小区名,地址,建造年限
蓝光香江国际二期六区,西山风景区,4室2厅 | 117平米 | 东 | 其他 | 中楼层(共20层)  | 塔楼
南门壹号,西山风景区,3室2厅 | 92平米 | 东 | 精装 | 中楼层(共33层)  | 塔楼
阳光西山秘境,西山风景区,4室1厅 | 126平米 | 东南 | 其他 | 中楼层(共9层)  | 暂无数据
阳光西山秘境,西山风景区,3室2厅 | 101平米 | 东南 | 精装 | 中楼层(共9层)  | 暂无数据
阳光西山秘境,西山风景区,3室2厅 | 101平米 | 东南 | 精装 | 低楼层(共9层)  | 暂无数据
碧桂园天玺湾,文峰,6室3厅 | 249平米 | 东南 | 毛坯 | 低楼层(共3层)  | 暂无数据
南山府邸,文峰,3室2厅 | 119.6平米 | 南 | 其他 | 低楼层(共26层)  | 塔楼
南充恒大城,南湖,3室2厅 | 90.36平米 | 东南 | 其他 | 中楼层(共26层)  | 塔楼
天庐二区,南湖,4室2厅 | 165平米 | 东南 | 毛坯 | 高楼层(共5层)  | 塔楼
蓝光香江国际二期六区,西山风景区,4室2厅 | 135.1平米 | 东 | 毛坯 | 高楼层(共18层)  | 塔楼
嘉南国际,嘉陵广场,3室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼
蓝光香江国际二期五区,西山风景区,4室2厅 | 138平米 | 南 | 毛坯 | 高楼层(共20层)  | 塔楼
都尉坝小区,南湖,3室2厅 | 143.22平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼
香洲郡,嘉陵广场,4室2厅 | 130平米 | 东 | 精装 | 中楼层(共5层)  | 板楼
王府花园A区,嘉陵广场,3室2厅 | 108平米 | 东南 | 简装 | 中楼层(共17层)  | 塔楼
碧桂园,文峰,3室2厅 | 97平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼
蓝光香江国际二期三区,西山风景区,3室2厅 | 95.17平米 | 东南 南 | 毛坯 | 高楼层(共29层)  | 塔楼
中虹国际二区,嘉陵广场,3室2厅 | 107平米 | 东南 | 毛坯 | 中楼层(共30层)  | 塔楼
南湖凯旋广场,南湖,3室2厅 | 95平米 | 东南 | 毛坯 | 高楼层(共26层)  | 塔楼
锦通·满庭芳,西山风景区,3室2厅 | 91.7平米 | 西南 | 精装 | 高楼层(共18层)  | 塔楼
南门壹号,西山风景区,3室2厅 | 86.17平米 | 南 北 | 简装 | 中楼层(共33层)  | 塔楼
通达花园,西山风景区,3室2厅 | 109.11平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼
中虹国际一区,嘉陵广场,3室2厅 | 95.76平米 | 西北 | 精装 | 低楼层(共32层)  | 塔楼
碧桂园,文峰,3室2厅 | 105.5平米 | 东 南 | 简装 | 中楼层(共32层)  | 塔楼
天庐二区,南湖,3室2厅 | 128平米 | 东南 | 其他 | 低楼层(共6层)  | 塔楼
地中海蓝,嘉陵广场,3室2厅 | 135平米 | 东南 | 简装 | 中楼层(共4层)  | 板楼
时代天骄一区,南湖,4室2厅 | 137平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼
华尔兹庄园,南湖,5室3厅 | 118.55平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼
火花路179号,嘉陵广场,3室2厅 | 130.62平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据
华林广场,南湖,3室2厅 | 97.66平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼
宏凌·滨江又一城,嘉陵广场,3室2厅 | 99.84平米 | 东南 | 毛坯 | 高楼层(共26层)  | 塔楼
南湖凯旋广场,南湖,3室2厅 | 95.16平米 | 东南 | 毛坯 | 高楼层(共23层)  | 塔楼
丽晶府,嘉陵广场,3室2厅 | 98.02平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼
天庐一区,南湖,4室2厅 | 145.91平米 | 东南 | 毛坯 | 中楼层(共4层)  | 塔楼
南湖凯旋广场,南湖,3室2厅 | 86.1平米 | 东南 | 毛坯 | 高楼层(共23层)  | 塔楼
希望城二区,南湖,3室1厅 | 104平米 | 东南 | 精装 | 高楼层(共23层)  | 塔楼
香洲郡,嘉陵广场,3室2厅 | 135.67平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼
香槟尚城,嘉陵广场,3室2厅 | 101.77平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼
王府花园A区,嘉陵广场,3室2厅 | 106.63平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据
香洲郡,嘉陵广场,3室2厅 | 100.59平米 | 西南 东北 | 精装 | 低楼层(共6层)  | 板楼
奥斯汀小镇,嘉陵广场,3室2厅 | 93.73平米 | 东南 南 | 其他 | 低楼层(共6层)  | 塔楼
南虹路三段37号,嘉陵广场,4室1厅 | 139.28平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼
九洲名苑,嘉陵广场,3室2厅 | 95.7平米 | 南 北 | 精装 | 中楼层(共27层)  | 塔楼
南充市嘉陵区人民检查院,嘉陵广场,3室2厅 | 120.16平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据
美宇悦庭,白马湖,4室2厅 | 119.73平米 | 南 | 毛坯 | 中楼层(共10层)  | 塔楼
南门壹号,西山风景区,3室2厅 | 105.41平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼
乐居小区,西山风景区,3室2厅 | 107平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据
南湖凯旋广场,南湖,3室2厅 | 96.3平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼
盛世豪庭,西山风景区,4室2厅 | 123.14平米 | 东南 | 毛坯 | 高楼层(共6层)  | 塔楼
天庐一区,南湖,3室2厅 | 124.92平米 | 东南 | 毛坯 | 中楼层(共5层)  | 暂无数据
碧桂园,文峰,3室2厅 | 101平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼
塞纳印象,嘉陵广场,3室2厅 | 97.25平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼
富翔名都,嘉陵广场,2室2厅 | 84.82平米 | 东 | 简装 | 低楼层(共6层)  | 塔楼
嘉南华府,嘉陵广场,3室2厅 | 105.49平米 | 东南 | 其他 | 低楼层(共8层)  | 板楼
阳光西山秘境,西山风景区,3室2厅 | 101平米 | 东南 | 其他 | 中楼层(共11层)  | 暂无数据
春飞名都,嘉陵广场,3室2厅 | 124平米 | 南 | 其他 | 中楼层(共7层)  | 板楼
阳光西山秘境,西山风景区,3室2厅 | 84平米 | 东南 | 精装 | 中楼层(共25层)  | 暂无数据
人和,嘉陵广场,5室2厅 | 145.27平米 | 东 | 简装 | 高楼层(共7层)  | 板楼
耀目小区,嘉陵广场,4室2厅 | 102平米 | 南 | 简装 | 高楼层(共6层)  | 板楼
地中海蓝,嘉陵广场,4室2厅 | 169.66平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼
天庐一区,南湖,5室2厅 | 372.07平米 | 东南 | 毛坯 | 3层  | 塔楼 | 独栋别墅
长兴苑,西山风景区,4室2厅 | 157.18平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼
天庐一区,南湖,5室2厅 | 180.56平米 | 东南 | 毛坯 | 高楼层(共6层)  | 板楼
南充恒大城,南湖,3室2厅 | 120平米 | 东 | 精装 | 中楼层(共26层)  | 塔楼
碧桂园,文峰,3室2厅 | 127平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼
南山府邸,文峰,4室2厅 | 140平米 | 南 | 毛坯 | 低楼层(共10层)  | 塔楼
南山府邸,文峰,3室2厅 | 114平米 | 东北 | 毛坯 | 低楼层(共18层)  | 塔楼
碧桂园天玺湾,文峰,4室2厅 | 129.52平米 | 东南 | 精装 | 低楼层(共27层)  | 塔楼
锦通·满庭芳,西山风景区,3室2厅 | 113平米 | 东南 | 简装 | 低楼层(共6层)  | 塔楼
南湖凯旋广场,南湖,3室2厅 | 92平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼
嘉南国际,嘉陵广场,3室2厅 | 125平米 | 东 | 简装 | 中楼层(共6层)  | 板楼
丽晶府,嘉陵广场,3室2厅 | 93平米 | 东 | 精装 | 高楼层(共32层)  | 塔楼
天庐二区,南湖,3室1厅 | 139.39平米 | 南 | 毛坯 | 中楼层(共4层)  | 塔楼
海山半島花園,西山风景区,3室2厅 | 130平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼
南虹小区南区,南湖,3室1厅 | 108.5平米 | 西南 | 毛坯 | 中楼层(共7层)  | 板楼
南充恒大城,南湖,3室2厅 | 101平米 | 东 | 精装 | 高楼层(共27层)  | 塔楼
圣辉观湖国际小区,南湖,3室2厅 | 106平米 | 南 | 毛坯 | 高楼层(共7层)  | 塔楼
祥和丽景,南湖,3室2厅 | 83.82平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼
天庐二区,南湖,4室2厅 | 146平米 | 东南 | 毛坯 | 低楼层(共5层)  | 塔楼
天庐二区,南湖,4室2厅 | 164.58平米 | 东南 | 毛坯 | 高楼层(共6层)  | 塔楼
蓝光香江国际二期四区,西山风景区,3室1厅 | 95.43平米 | 南 | 其他 | 低楼层(共30层)  | 塔楼
天庐二区,南湖,4室2厅 | 149.58平米 | 东南 | 其他 | 中楼层(共5层)  | 塔楼
南湖凯旋广场,南湖,4室2厅 | 103平米 | 东南 | 毛坯 | 高楼层(共28层)  | 塔楼
融创九棠府,南湖,5室2厅 | 160平米 | 南 | 毛坯 | 3层  | 暂无数据 | 联排别墅
幸福小区（嘉陵区）,嘉陵广场,2室1厅 | 92.63平米 | 东 东南 | 简装 | 低楼层(共7层)  | 暂无数据
舒巢一品,嘉陵广场,3室2厅 | 128.57平米 | 东南 | 其他 | 低楼层(共18层)  | 塔楼
南山府邸,文峰,3室2厅 | 117平米 | 东南 | 其他 | 低楼层(共26层)  | 塔楼
南山府邸,文峰,3室2厅 | 120平米 | 东南 | 其他 | 中楼层(共26层)  | 塔楼
同乐巷,嘉陵广场,3室2厅 | 114.31平米 | 西北 | 简装 | 中楼层(共6层)  | 暂无数据
红盾苑,嘉陵广场,4室1厅 | 146.96平米 | 东南 | 简装 | 中楼层(共7层)  | 平房
南山府邸,文峰,2室2厅 | 88平米 | 东 东南 东北 | 其他 | 中楼层(共23层)  | 塔楼
南湖凯旋广场,南湖,4室2厅 | 102.6平米 | 东南 | 精装 | 中楼层(共28层)  | 塔楼
南湖凯旋广场,南湖,3室2厅 | 95平米 | 东南 | 毛坯 | 低楼层(共23层)  | 塔楼
中虹国际一区,嘉陵广场,3室2厅 | 83.88平米 | 东南 | 简装 | 高楼层(共32层)  | 塔楼
碧桂园,文峰,3室2厅 | 99平米 | 东南 | 其他 | 中楼层(共32层)  | 塔楼
爱丁堡小镇,南湖,3室2厅 | 97平米 | 北 | 毛坯 | 中楼层(共24层)  | 塔楼
名仕公馆,嘉陵广场,3室1厅 | 103.36平米 | 西南 | 其他 | 低楼层(共6层)  | 塔楼
九洲名苑,嘉陵广场,3室2厅 | 98.23平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼
彩虹星城,南湖,3室2厅 | 93.39平米 | 东南 | 毛坯 | 中楼层(共32层)  | 暂无数据
九洲名苑,嘉陵广场,3室2厅 | 98.23平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼
火花路91号附2号,嘉陵广场,3室2厅 | 106.63平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼
塘殿堰小区,南湖,3室2厅 | 105平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼
奥斯汀小镇,嘉陵广场,3室2厅 | 94.5平米 | 南 | 其他 | 低楼层(共6层)  | 塔楼
阳光白马城二区,白马湖,3室1厅 | 85平米 | 西 | 毛坯 | 中楼层(共31层)  | 塔楼
阳光西山秘境,西山风景区,3室2厅 | 82.49平米 | 东南 南 | 其他 | 高楼层(共27层)  | 塔楼
立宇花园二区,白马湖,3室2厅 | 91平米 | 东南 | 其他 | 中楼层(共7层)  | 板楼
三合小区,西山风景区,2室1厅 | 81平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据
正林山庄,西山风景区,3室2厅 | 142平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据
阳光西山秘境,西山风景区,3室1厅 | 101平米 | 南 | 其他 | 低楼层(共9层)  | 塔楼
奥斯汀小镇,嘉陵广场,3室2厅 | 93.02平米 | 东南 | 简装 | 中楼层(共6层)  | 塔楼
长兴居,嘉陵广场,3室2厅 | 108平米 | 东南 | 简装 | 低楼层(共7层)  | 板塔结合
奥斯汀小镇,嘉陵广场,3室2厅 | 110平米 | 南 北 | 其他 | 中楼层(共5层)  | 塔楼
厚院,西山风景区,3室2厅 | 106.53平米 | 东南 | 其他 | 高楼层(共6层)  | 塔楼
蓝光香江国际二期六区,西山风景区,4室2厅 | 135.11平米 | 东南 | 毛坯 | 中楼层(共18层)  | 塔楼
中虹国际二区,嘉陵广场,3室2厅 | 107.41平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼
嘉陵畜牧局,嘉陵广场,5室2厅 | 212平米 | 南 | 精装 | 高楼层(共6层)  | 板楼
四季花都,嘉陵广场,3室1厅 | 136.5平米 | 东南 | 简装 | 高楼层(共7层)  | 塔楼
春飞名都,嘉陵广场,5室2厅 | 157平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼
嘉禾苑,嘉陵广场,4室2厅 | 168平米 | 南 | 简装 | 高楼层(共6层)  | 板楼
莱诗·柏林美墅,西山风景区,4室2厅 | 144.75平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼
莱诗·柏林美墅,西山风景区,4室2厅 | 142.11平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼
阳光御府,南湖,3室2厅 | 85平米 | 东南 南 | 其他 | 低楼层(共30层)  | 塔楼
龙凤居,南湖,3室1厅 | 81.75平米 | 东南 | 其他 | 中楼层(共6层)  | 塔楼
阳光御府,南湖,3室2厅 | 86平米 | 南 北 | 其他 | 中楼层(共11层)  | 塔楼
阳光白马城二区,白马湖,3室1厅 | 98平米 | 南 | 其他 | 高楼层(共9层)  | 塔楼
蓝光香江国际二期三区,西山风景区,4室2厅 | 117平米 | 东南 | 其他 | 低楼层(共29层)  | 塔楼
人和街,西山风景区,4室2厅 | 142.08平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据
莱诗·柏林美墅,西山风景区,4室2厅 | 141平米 | 东南 | 其他 | 中楼层(共8层)  | 板楼
香槟尚城,嘉陵广场,3室2厅 | 94.03平米 | 东南 | 其他 | 高楼层(共6层)  | 板楼
紫府小区,嘉陵广场,3室2厅 | 112平米 | 东 | 其他 | 中楼层(共7层)  | 板楼
绿地控股金澜府,南湖,5室3厅 | 197平米 | 东南 | 毛坯 | 低楼层(共3层)  | 暂无数据
公园大地,南湖,2室1厅 | 81.33平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合
嘉州玫瑰花园,嘉陵广场,2室2厅 | 72平米 | 东南 南 | 精装 | 高楼层(共18层)  | 塔楼
嘉楠绿洲,南湖,2室1厅 | 79.8平米 | 东南 | 其他 | 中楼层(共11层)  | 塔楼
天庐二区,南湖,4室2厅 | 164.28平米 | 东南 | 毛坯 | 高楼层(共6层)  | 塔楼
碧桂园,文峰,2室2厅 | 86.48平米 | 西南 | 精装 | 高楼层(共32层)  | 塔楼
碧桂园,文峰,2室1厅 | 84.6平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼
长兴居,嘉陵广场,2室2厅 | 94.77平米 | 南 | 其他 | 高楼层(共7层)  | 板楼
华雅财富城,嘉陵广场,3室2厅 | 88.14平米 | 西南 | 毛坯 | 高楼层(共34层)  | 塔楼
奥斯汀小镇,嘉陵广场,2室2厅 | 80.34平米 | 东南 | 精装 | 低楼层(共6层)  | 塔楼
南虹路三段37号,嘉陵广场,2室1厅 | 77.3平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼
奥斯汀小镇,嘉陵广场,2室2厅 | 80.32平米 | 东南 | 毛坯 | 中楼层(共6层)  | 塔楼
金尊花園,嘉陵广场,2室1厅 | 71.72平米 | 东南 | 精装 | 低楼层(共29层)  | 板塔结合
南门壹号,西山风景区,2室2厅 | 76.22平米 | 东南 | 简装 | 高楼层(共33层)  | 塔楼
阳光西山秘境,西山风景区,3室1厅 | 101平米 | 西南 | 精装 | 低楼层(共11层)  | 暂无数据
地中海蓝,嘉陵广场,3室2厅 | 136平米 | 东南 | 精装 | 中楼层(共4层)  | 板楼
嘉南国际,嘉陵广场,3室2厅 | 105平米 | 东 东南 | 精装 | 高楼层(共6层)  | 塔楼
金域城,西山风景区,3室2厅 | 88平米 | 西 | 精装 | 低楼层(共31层)  | 暂无数据
阳光西山秘境,西山风景区,3室2厅 | 101平米 | 南 | 精装 | 低楼层(共9层)  | 塔楼
奥斯汀小镇,嘉陵广场,3室2厅 | 106.6平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据
圣辉观湖国际小区,南湖,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共7层)  | 塔楼
富翔名都,嘉陵广场,3室2厅 | 125.97平米 | 东 | 精装 | 中楼层(共8层)  | 板楼
仁和雅居,南湖,3室2厅 | 92.56平米 | 南 | 简装 | 低楼层(共7层)  | 板楼
碧桂园,文峰,3室1厅 | 101.09平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼
南虹小区北区,南湖,3室2厅 | 108.79平米 | 西南 | 其他 | 高楼层(共7层)  | 板楼
嘉楠绿洲,南湖,3室2厅 | 94.93平米 | 东北 | 精装 | 低楼层(共6层)  | 塔楼
四季花都,嘉陵广场,3室2厅 | 126.17平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼
恒鹏小区,嘉陵广场,3室2厅 | 158.89平米 | 东南 | 精装 | 高楼层(共7层)  | 板塔结合
四季花都,嘉陵广场,3室2厅 | 94.7平米 | 东 | 简装 | 中楼层(共6层)  | 塔楼
四季花都,嘉陵广场,3室2厅 | 94.7平米 | 东 | 简装 | 中楼层(共6层)  | 塔楼
世纪名扬,嘉陵广场,3室2厅 | 125.47平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼
后海小区,嘉陵广场,3室1厅 | 92.62平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼
公园大地,南湖,3室2厅 | 118平米 | 东 | 精装 | 中楼层(共7层)  | 板楼
都尉坝小区,南湖,3室2厅 | 94.62平米 | 南 | 简装 | 高楼层(共7层)  | 板楼
圣辉观湖国际小区,南湖,4室2厅 | 116.84平米 | 北 | 毛坯 | 低楼层(共7层)  | 塔楼
九步街兴市小区,嘉陵广场,3室2厅 | 95.5平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据
奥斯汀小镇,嘉陵广场,3室2厅 | 103平米 | 东南 | 精装 | 低楼层(共11层)  | 塔楼
南域世家,嘉陵广场,3室2厅 | 95.09平米 | 东 | 精装 | 中楼层(共7层)  | 板楼
